individuo;species;ccauda;ccorpo;pataunha;garra;orelha;peso;cub_peso;male
as10modi;Monodelphis_dimidiata;73;105;12;2;14;31;3.141380652;1
as11akaz;Akodon_azarae;79;96;22;2;13;26;2.962496068;1
as12modi;Monodelphis_dimidiata;65;120;19;1;19.5;44.5;3.543670531;1
as13modi;Monodelphis_dimidiata;73;115;19;2;12;38;3.361975407;1
as14desp;Deltamys_araucaria;65;82;20;2;12.5;10;2.15443469;1
as15modi;Monodelphis_dimidiata;64;105;17;2;10;41;3.44821724;1
as16grmi;Gracilinanus_microtarsus;135;110;14;1;18;22.5;2.823108087;1
as17oxna;Oxymycterus_nasutus;105;115;27;3;16;66.5;4.05141951;1
as1akpa;Akodon_paranaensis;90;100;25;2;18;27.5;3.018405368;1
as2akpa;Akodon_paranaensis;91;121;24;2;17;42;3.476026645;1
as3brih;Brucepattersonius_iheringi;97;110.5;25;2;17;30;3.107232506;1
as4akpa;Akodon_paranaensis;82;120;25;2;16;27;3;1
as5oxna;Oxymycterus_nasutus;90;120;28;2;15;66;4.041240021;0
as6olsp;Oligoryzomys_nigripes;136;80;25;2;16;17;2.571281591;1
as7akpa;Akodon_paranaensis;95;110;26;3;21.8;26.5;2.981365979;0
as8akaz;Akodon_azarae;70;95;20;2;13;7.5;1.957433821;1
as9modi;Monodelphis_dimidiata;70;120;18;2;10;32.5;3.191252149;1
es10olsp;Oligoryzomys_nigripes;128;95;27;1;16;28;3.036588972;1
es11olsp;Oligoryzomys_nigripes;118;90;26;1;15;19.5;2.691606306;1
es12olsp;Oligoryzomys_nigripes;129;105;24;2;17;32;3.174802104;1
es13dial;Didelphis_albiventris;250;230;43;3;32;250;6.299605249;1
es14daaz;Dasyprocta_azarae;30;170;91;1;30;950;9.830475725;0
es1soan;Sooretamys_angouya;160;120;35;1;22;49;3.65930571;1
es3soan;Sooretamys_angouya;188;156;35;1;26;95;4.562902635;0
es4olsp;Oligoryzomys_nigripes;110;95;29;1;17;30;3.107232506;0
es5akre;Akodon_reigi;67;72;23;2;15;20;2.714417617;0
es6olsp;Oligoryzomys_nigripes;102;76;23;1;15;17.5;2.596247051;1
es7olsp;Oligoryzomys_nigripes;120;75;27;2;15;16;2.5198421;1
es8dial;Didelphis_albiventris;250;230;44;4;40;145;5.253587872;1
es9soan;Sooretamys_angouya;161;118;35;1;23;73;4.179339196;1
hl1oxna;Oxymycterus_nasutus;93;127;28;3;20;37.5;3.34716475;1
hl2dial;Didelphis_albiventris;360;330;60;4;40;1000;10;1
hl3olsp;Oligoryzomys_nigripes;125;106;26.5;1.5;17;24.5;2.904392867;1
hl4olsp;Oligoryzomys_nigripes;110;85;26;1.5;12;5.5;1.765174168;1
hl5olsp;Oligoryzomys_nigripes;120;90;26.5;2;14;8.5;2.040827551;0
hl6akre;Akodon_reigi;90;125;28;3;15;34.5;3.255415036;1
hl7olsp;Oligoryzomys_nigripes;150;103;30;2;22;21;2.758924176;0
hl8olsp;Oligoryzomys_nigripes;133;90;29;2;16.5;15;2.466212074;0
pet10akpa;Akodon_paranaensis;85;95;25;2.5;18;45;3.556893304;0
pet11akpa;Akodon_paranaensis;80;90;25;2.5;16;44;3.530348335;0
pet12dial;Didelphis_albiventris;240;200;46;6;30;250;6.299605249;1
pet13akpa;Akodon_paranaensis;83;120;26;3;16;49.5;3.671710231;0
pet14akpa;Akodon_paranaensis;85;120;27;3;17;44;3.530348335;1
pet15akpa;Akodon_paranaensis;87;100;27;3;15;33;3.20753433;1
pet16olsp;Oligoryzomys_nigripes;130;85;25;1;15;25;2.924017738;1
pet17akpa;Akodon_paranaensis;79;80;26;2;15;22.5;2.823108087;1
pet18soan;Sooretamys_angouya;165;135;36;1;21;73;4.179339196;0
pet19olsp;Oligoryzomys_nigripes;122;90;25;1;15;21;2.758924176;1
pet1akpa;Akodon_paranaensis;80;100;20;2;15;30;3.107232506;0
pet20akpa;Akodon_paranaensis;74;100;25;3;17;42;3.476026645;0
pet21olsp;Oligoryzomys_nigripes;120;80;25;1;15;21;2.758924176;0
pet22akpa;Akodon_paranaensis;95;110;25;2;20;43;3.50339806;0
pet23olsp;Oligoryzomys_nigripes;114;84;25;1;15;19;2.668401649;1
pet24olsp;Oligoryzomys_nigripes;127;90;25;1;16;22;2.802039331;1
pet25soan;Sooretamys_angouya;200;155;35;3;20;129;5.052774347;0
pet26akpa;Akodon_paranaensis;86;105;25;2;18;32.5;3.191252149;0
pet2sctu;Scapteromys_meridionalis;100;145;32;2;20;86;4.414004962;0
pet30oxsp;Oxymycterus_sp_nov;115;125;28;4;23;32;3.174802104;1
pet31oxsp;Oxymycterus_sp_nov;116;120;27;4;23;66;4.041240021;1
pet32dedo;Delomys_dorsalis;105;95;26;2;20;33;3.20753433;0
pet33diau;Didelphis_aurita;200;200;40;5;40;246;6.265826556;1
pet34dial;Didelphis_albiventris;320;300;45;5;50;1000;10;0
pet35oxsp;Oxymycterus_sp_nov;65;170;40;4;27;120;4.932424149;0
pet36akpa;Akodon_paranaensis;83;120;25;1;20;51.5;3.72050943;0
pet37olsp;Oligoryzomys_nigripes;125;83;26;1;24;19;2.668401649;1
pet38dial;Didelphis_albiventris;220;190;40;5;20;250;6.299605249;1
pet39diau;Didelphis_aurita;320;280;50;4;40;700;8.879040017;0
pet3dedo;Delomys_dorsalis;126;135;32;2;30;52.5;3.744436194;0
pet40dial;Didelphis_albiventris;205;200;36;6;30;150;5.313292846;0
pet41nela;Necromys_lasiurus;60;100;20;2;11;36.5;3.317143718;1
pet42olsp;Oligoryzomys_nigripes;135;90;26;5;17;29;3.072316826;1
pet43olsp;Oligoryzomys_nigripes;90;90;27;1;17;20;2.714417617;1
pet44oxsp;Oxymycterus_sp_nov;140;160;40;5;24;120;4.932424149;1
pet45olsp;Oligoryzomys_nigripes;107;82;26;1;16;16.5;2.545821685;1
pet46olsp;Oligoryzomys_nigripes;127;96;27;1;18;31;3.141380652;1
pet47olsp;Oligoryzomys_nigripes;113;85;25;1;15;21;2.758924176;1
pet48olsp;Oligoryzomys_nigripes;123;86;27;1;18;19.5;2.691606306;1
pet49olsp;Oligoryzomys_nigripes;116;85;25;2;16;19.5;2.691606306;1
pet4olsp;Oligoryzomys_nigripes;113;87;23.5;1.5;15;13;2.351334688;1
pet50akpa;Akodon_paranaensis;90;117;25;1;16;28;3.036588972;1
pet51nela;Necromys_lasiurus;58;91;21;2;12;28.5;3.054557372;0
pet52akpa;Akodon_paranaensis;106;115;26;2;21;49;3.65930571;0
pet53olsp;Oligoryzomys_nigripes;106;85;26;1;16;20;2.714417617;1
pet54soan;Sooretamys_angouya;205;153;40;4;23;124;4.986630952;0
pet5olsp;Oligoryzomys_nigripes;116;65;25;1;15;18;2.620741394;1
pet6sctu;Scapteromys_meridionalis;90;100;33;3;15;37;3.332221852;1
pet7olsp;Oligoryzomys_nigripes;119;65;25;1;15;18;2.620741394;1
pet8olsp;Oligoryzomys_nigripes;136;87;25;1;15;24;2.884499141;0
pet9olsp;Oligoryzomys_nigripes;116;80;24;1;12;30;3.107232506;1
pm2akmo;Akodon_montensis;83;92;25;2;18.5;26;2.962496068;1
pm8dedo;Delomys_dorsalis;117;11;28;1;21;41;3.44821724;1
pm100oxna;Oxymycterus_nasutus;82;115;28;3;18;57.5;3.859721315;0
pm101oxna;Oxymycterus_nasutus;81;115;26;3;13;79;4.290840427;1
pm102akse;Akodon_serrensis;87;95;26;2;15;29;3.072316826;0
pm103desp;Deltamys_araucaria;69;85;22;1;13;27;3;0
pm104oxna;Oxymycterus_nasutus;81;123;29;3;19;57;3.848501131;1
pm105sctu;Scapteromys_meridionalis;117;14;35;4;20;78;4.272658682;0
pm106akmo;Akodon_montensis;77;82;24;1;17;17;2.571281591;0
pm107aksp;Akodon_sp.;99;90;27;1.5;18;31;3.141380652;1
pm108thni;Thaptomys_nigrita;47;71;19;2;12;10;2.15443469;0
pm109olsp;Oligoryzomys_nigripes;128;79;25;1;17;26;2.962496068;0
pm10dedo;Delomys_dorsalis;116;112;30;2;18;39;3.391211443;1
pm110olsp;Oligoryzomys_nigripes;126;90;26;1;17;28;3.036588972;1
pm111akmo;Akodon_montensis;83;83;25;2;16;23;2.84386698;0
pm112akmo;Akodon_montensis;105;101;28;1;20;41;3.44821724;1
pm113oxna;Oxymycterus_nasutus;90;123;27;4;17;62;3.95789161;0
pm114olsp;Oligoryzomys_nigripes;78;105;24;1;15;13;2.351334688;0
pm11akmo;Akodon_montensis;80;81;25;3;15;19.5;2.691606306;0
pm12desp;Deltamys_araucaria;70;90;22;2;10;21;2.758924176;1
pm13modi;Monodelphis_dimidiata;61;105;17;1;10;32;3.174802104;1
pm14aksp;Akodon_sp.;90;108;25;3;19;39;3.391211443;1
pm15modi;Monodelphis_dimidiata;50;75;18;1;10;13;2.351334688;1
pm16modi;Monodelphis_dimidiata;56;75;17;1;8;23;2.84386698;1
pm17modi;Monodelphis_dimidiata;57;77;17;1;7;26;2.962496068;1
pm18modi;Monodelphis_dimidiata;66;98;18;1;10;31;3.141380652;1
pm19modi;Monodelphis_dimidiata;55;86;16;1;12;25;2.924017738;1
pm1modi;Monodelphis_dimidiata;55;107;25;3;12;25;2.924017738;1
pm20dedo;Delomys_dorsalis;117;11;28.5;1.5;21;39;3.391211443;1
pm21akmo;Akodon_montensis;92;97;25;2;18;27;3;1
pm22akmo;Akodon_montensis;88;90;25;2;17.5;29;3.072316826;1
pm23akse;Akodon_serrensis;95;11;26;1.5;19;31.5;3.158179799;0
pm24olsp;Oligoryzomys_nigripes;142;75;26;2;18;18;2.620741394;1
pm25akmo;Akodon_montensis;94;101;31;2;17;33.5;3.223652864;1
pm26modi;Monodelphis_dimidiata;59;98;17;1;11;25;2.924017738;1
pm27akaz;Akodon_azarae;66;106;23;1.5;14;31.5;3.158179799;1
pm28akse;Akodon_serrensis;84;90;26;2;18;23;2.84386698;0
pm29modi;Monodelphis_dimidiata;62;100;18;1;11;28;3.036588972;1
pm30akmo;Akodon_montensis;93;108;26;3;18;34;3.239611801;1
pm31oxna;Oxymycterus_nasutus;90;132;29;3;20;62;3.95789161;0
pm32akmo;Akodon_montensis;86;92;24;1;17;24.5;2.904392867;1
pm33akse;Akodon_serrensis;83;96;25;1;17;25;2.924017738;0
pm34akmo;Akodon_montensis;84;92;25;1.5;16;28;3.036588972;0
pm35akse;Akodon_serrensis;83;94;26;2;15;24.5;2.904392867;0
pm36sctu;Scapteromys_meridionalis;105;150;35;3;24;104;4.702669375;1
pm37akse;Akodon_serrensis;85;85;25;1;16;24;2.884499141;0
pm38akaz;Akodon_azarae;110;78;25;1;17;17;2.571281591;1
pm39akaz;Akodon_azarae;75;90;25;2;14;24;2.884499141;1
pm3akmo;Akodon_montensis;83;90;25;3;20;22;2.802039331;0
pm40olsp;Oligoryzomys_nigripes;110;78;25;1;15;15.5;2.493315476;0
pm42modi;Monodelphis_dimidiata;65;107;17;1;14;27;3;1
pm43modi;Monodelphis_dimidiata;66;110;18;1;13;27;3;1
pm44modi;Monodelphis_dimidiata;65;112;16;1;13;26;2.962496068;1
pm45modi;Monodelphis_dimidiata;53;85;15;1;11;16;2.5198421;0
pm46oxna;Oxymycterus_nasutus;86;125;30;3;20;73.5;4.188859364;0
pm47oxna;Oxymycterus_nasutus;87;130;28;3;20;54;3.77976315;0
pm48akaz;Akodon_azarae;70;96;23;2;14;23.5;2.864327158;1
pm49desp;Deltamys_araucaria;68;63;20;1;11;14;2.410142264;0
pm4dedo;Delomys_dorsalis;126;110;30;1;20;43;3.50339806;1
pm50akmo;Akodon_montensis;85;86;25;1;17;26.5;2.981365979;0
pm51akmo;Akodon_montensis;91;102;23;1.5;17;30;3.107232506;0
pm52oxna;Oxymycterus_nasutus;82;135;27;2;19;53.5;3.768061022;0
pm53akmo;Akodon_montensis;91;100;26;1;20;36;3.301927249;1
pm54akmo;Akodon_montensis;87;103;27;2;17;25.5;2.943382658;0
pm55akmo;Akodon_montensis;86;91;25;2;17;23;2.84386698;0
pm56akse;Akodon_serrensis;91;102;26;1.5;17;34;3.239611801;0
pm57akmo;Akodon_montensis;95;115;26;1.5;20;38;3.361975407;1
pm58akmo;Akodon_montensis;86;99;26;1;17;28;3.036588972;1
pm59modi;Monodelphis_dimidiata;54;82;15;1;11;16;2.5198421;0
pm5akse;Akodon_serrensis;83;85;25;3;15;32.5;3.191252149;0
pm60modi;Monodelphis_dimidiata;70;120;20;1;12;37;3.332221852;1
pm61akaz;Akodon_azarae;67;86;21;1;15;23;2.84386698;0
pm62modi;Monodelphis_dimidiata;54;78;21;1;11;17;2.571281591;0
pm63akse;Akodon_serrensis;87;100;26;2;17;27;3;1
pm64oxna;Oxymycterus_nasutus;92;140;30;3;15;86;4.414004962;1
pm65oxna;Oxymycterus_nasutus;83;125;28;3;15;74;4.198336454;0
pm66oxna;Oxymycterus_nasutus;90;145;30;3;16;80;4.30886938;1
pm67modi;Monodelphis_dimidiata;57;97;18;1;13;26;2.962496068;1
pm68akaz;Akodon_azarae;85;98;23;1.5;15;28;3.036588972;1
pm69aksp;Akodon_sp.;89;90;26.5;1.5;19;24;2.884499141;0
pm6akmo;Akodon_montensis;91;100;26;3;18;32.5;3.191252149;1
pm70oxna;Oxymycterus_nasutus;95;120;30;4;16;68;4.081655102;0
pm71dedo;Delomys_dorsalis;126;110;30;1;21;39;3.391211443;0
pm72akse;Akodon_serrensis;82;93;25;1.5;18;25;2.924017738;0
pm73olsp;Oligoryzomys_nigripes;102;78;25;1;13;13;2.351334688;0
pm74oxna;Oxymycterus_nasutus;60;95;24;1.5;10;19;2.668401649;0
pm75modi;Monodelphis_dimidiata;74;112;18;1;10;33;3.20753433;1
pm76oxna;Oxymycterus_nasutus;88;143;30;3;15;81;4.326748711;1
pm77akaz;Akodon_azarae;67;94;21;1;15;27;3;1
pm78olsp;Oligoryzomys_nigripes;112;84;25;1;13;23;2.84386698;1
pm79oxna;Oxymycterus_nasutus;61;135;29;3;17;87;4.431047622;1
pm7modi;Monodelphis_dimidiata;53;100;21;1;15;26;2.962496068;1
pm80oxna;Oxymycterus_nasutus;94;125;27;3;19;93;4.530654896;1
pm81akmo;Akodon_montensis;91;100;26;3;18;32.5;3.191252149;0
pm82modi;Monodelphis_dimidiata;65;97;20;1;12;32;3.174802104;1
pm83oxna;Oxymycterus_nasutus;86;12;28;3;19;67;4.0615481;1
pm84olsp;Oligoryzomys_nigripes;113;84;24;1;12;21;2.758924176;1
pm85modi;Monodelphis_dimidiata;64;105;18;1.5;13;37;3.332221852;1
pm86oxna;Oxymycterus_nasutus;78;110;28;3;17;63;3.979057208;0
pm87oxna;Oxymycterus_nasutus;96;130;29;3;16;71;4.140817749;1
pm88desp;Deltamys_araucaria;74;85;22;1;14;26;2.962496068;1
pm89akaz;Akodon_azarae;66;93;22;1;15;26;2.962496068;1
pm90oxna;Oxymycterus_nasutus;90;128;29;3;20;76;4.235823584;1
pm91oxna;Oxymycterus_nasutus;85;115;27;3;15;56;3.825862366;0
pm92olsp;Oligoryzomys_nigripes;118;88;25;1;15;21;2.758924176;1
pm93olsp;Oligoryzomys_nigripes;101;72;22;1;10;11;2.223980091;1
pm94akmo;Akodon_montensis;85;85;25;1;17;24;2.884499141;1
pm95desp;Deltamys_araucaria;66;80;20;1;15;11.5;2.257178718;0
pm96aksp;Akodon_sp.;84;85;25;1;15;28;3.036588972;1
pm97modi;Monodelphis_dimidiata;61;101;21;1;11;31;3.141380652;1
pm98akmo;Akodon_montensis;86;95;25;2;17;29;3.072316826;1
pm99oxna;Oxymycterus_nasutus;93;132;28;3;17;64;4;1
pm9oxna;Oxymycterus_nasutus;82;130;27;3;18;60.5;3.925712205;1
sam1dial;Didelphis_albiventris;215;160;33;3;30;100;4.641588834;1
sam2dial;Didelphis_albiventris;210;160;33;3;30;100;4.641588834;1
sam3dial;Didelphis_albiventris;300;240;40;3;37;470;7.774980097;0
sam4dial;Didelphis_albiventris;210;190;40;2;30;100;4.641588834;1
sam5akmo;Akodon_montensis;114;131;28;3;16;59;3.892996416;1
sam6dial;Didelphis_albiventris;230;210;43;3;45;252;6.316359598;0
sam7akmo;Akodon_montensis;95;103;25;2.5;20;31;3.141380652;0
sbv10akre;Akodon_reigi;82;103;25;1.5;17;32;3.174802104;0
sbv11olsp;Oligoryzomys_nigripes;130;95;26;2;16;43;3.50339806;0
sbv12olsp;Oligoryzomys_nigripes;120;104;25;2;18;30;3.107232506;0
sbv13olsp;Oligoryzomys_nigripes;110;85;25;1.5;15;22.5;2.823108087;0
sbv14olsp;Oligoryzomys_nigripes;110;102;25;2;19;35;3.27106631;0
sbv15akre;Akodon_reigi;89;106;27;2.5;16;19.5;2.691606306;1
sbv16akre;Akodon_reigi;119;92;26;2;17;25;2.924017738;1
sbv17olsp;Oligoryzomys_nigripes;110;83;26;1.5;16;19.5;2.691606306;1
sbv18olsp;Oligoryzomys_nigripes;119;92;26;2;17;25;2.924017738;1
sbv19akre;Akodon_reigi;79;99;26;2;17;28;3.036588972;0
sbv1olsp;Oligoryzomys_nigripes;127;95;27;1;16;18;2.620741394;1
sbv20akre;Akodon_reigi;93;105;25;2;18;35;3.27106631;0
sbv21akre;Akodon_reigi;79;104;26;2;165;32;3.174802104;0
sbv22soan;Sooretamys_angouya;137;105;27;2;17;44;3.530348335;1
sbv2akre;Akodon_reigi;90;110;28;2;21;35.5;3.286569226;1
sbv3akre;Akodon_reigi;100;110;26;2;20;38;3.361975407;1
sbv4akre;Akodon_reigi;93;110;25;2;18;42;3.476026645;0
sbv5olsp;Oligoryzomys_nigripes;121;93;28;1.5;16;25.5;2.943382658;1
sbv6akre;Akodon_reigi;90;100;23;2;19;29;3.072316826;1
sbv7olsp;Oligoryzomys_nigripes;115;90;26;1.5;16;23;2.84386698;1
sbv8olsp;Oligoryzomys_nigripes;115;77;26;1;15;15;2.466212074;1
sbv9akre;Akodon_reigi;100;105;29;2;19;42;3.476026645;1
sfa1nesq;Nectomys_squamipes;210;170;53;3;30;240;6.214465012;0
sfa2akmo;Akodon_montensis;85;100;25;3;15;26;2.962496068;0
sfa3olsp;Oligoryzomys_nigripes;126;85;24.5;1.5;13;13;2.351334688;0
sfa4akmo;Akodon_montensis;85;100;25;3;15;26;2.962496068;0
sfa5daaz;Dasyprocta_azarae;10;504;105.5;1;30;800;9.283177667;0
